"pathway","pSize","pFdr","teststat"
"Organismal Systems-Circulatory system-Vascular smooth muscle contraction",2,1.46042248901972e-62,-19.7293447443415
"Human Diseases-Endocrine and metabolic disease-AGE-RAGE signaling pathway in diabetic complications",2,3.41228446291606e-52,-17.4997984594774
"Metabolism-Carbohydrate metabolism-Butanoate metabolism",6,8.86241105736543e-51,-20.6453058322679
"Human Diseases-Cardiovascular disease-Fluid shear stress and atherosclerosis",2,4.68085184200349e-45,15.9830964181999
"Organismal Systems-Circulatory system-Adrenergic signaling in cardiomyocytes",5,1.02566201954632e-41,-15.1551447344155
"Human Diseases-Endocrine and metabolic disease-Cushing syndrome",4,1.5014319568716e-41,-15.1152204496044
"Environmental Information Processing-Signaling molecules and interaction-Neuroactive ligand-receptor interaction",3,3.75377866949197e-39,-14.5519850174239
"Human Diseases-Substance dependence-Alcoholism",1,3.13066571970265e-38,-14.3202350953625
"Organismal Systems-Nervous system-Serotonergic synapse",1,3.13066571970265e-38,-14.3202350953625
"Organismal Systems-Endocrine system-Relaxin signaling pathway",3,2.90758206839142e-37,-14.0918705689853
"Environmental Information Processing-Signal transduction-Apelin signaling pathway",3,2.05491912219984e-36,-14.2760150876681
"Metabolism-Metabolism of cofactors and vitamins-Lipoic acid metabolism",2,6.84382224527434e-36,-13.7613574620643
"Human Diseases-Neurodegenerative disease-Parkinson disease",2,2.49132474363216e-28,-11.9587652588318
"Metabolism-Metabolism of other amino acids-beta-Alanine metabolism",5,3.09646714758644e-21,-12.1401236516914
"Metabolism-Lipid metabolism-Primary bile acid biosynthesis",5,3.89427229311255e-21,-12.3377958660722
"Metabolism-Lipid metabolism-Sphingolipid metabolism",2,3.89427229311255e-21,-10.0802924723642
"Human Diseases-Endocrine and metabolic disease-Type II diabetes mellitus",1,1.78020924421094e-18,-9.34125422349353
"Metabolism-Amino acid metabolism-Valine, leucine and isoleucine degradation",9,1.82288433455836e-18,-13.777890632031
"Metabolism-Carbohydrate metabolism-Galactose metabolism",1,5.33390320343889e-16,8.65015189023204
"Environmental Information Processing-Signal transduction-AMPK signaling pathway",5,3.31557698686159e-15,-8.49330537587491
"Human Diseases-Cardiovascular disease-Diabetic cardiomyopathy",4,3.43055812290683e-15,-8.43089497484731
"Metabolism-Metabolism of cofactors and vitamins-Folate biosynthesis",3,1.36696331010199e-14,8.30593423692554
"Cellular Processes-Cell growth and death-Apoptosis",5,1.63371154906722e-13,7.87114645323789
"Environmental Information Processing-Signal transduction-Hippo signaling pathway",5,1.63371154906722e-13,-7.87044744271627
"Environmental Information Processing-Signal transduction-Sphingolipid signaling pathway",2,2.36075261637496e-12,7.48218360181254
"Metabolism-Carbohydrate metabolism-Propanoate metabolism",6,3.32706016781191e-12,-10.4655089586554
"Metabolism-Amino acid metabolism-Histidine metabolism",3,3.76174143115998e-12,-7.41831250939194
"Cellular Processes-Transport and catabolism-Endocytosis",1,7.11650293918705e-12,-7.28196697994767
"Environmental Information Processing-Signal transduction-Hedgehog signaling pathway",1,7.11650293918705e-12,-7.28196697994767
"Organismal Systems-Endocrine system-Parathyroid hormone synthesis, secretion and action",1,7.11650293918705e-12,-7.28196697994767
"Organismal Systems-Immune system-Chemokine signaling pathway",1,7.11650293918705e-12,-7.28196697994767
"Organismal Systems-Nervous system-Dopaminergic synapse",1,7.11650293918705e-12,-7.28196697994767
"Human Diseases-Substance dependence-Morphine addiction",2,1.70712701507418e-11,-7.14625391002269
"Environmental Information Processing-Signal transduction-ErbB signaling pathway",3,1.04443593019149e-10,-6.8630483602854
"Organismal Systems-Excretory system-Endocrine and other factor-regulated calcium reabsorption",2,7.37954663695209e-10,-6.54690745276838
"Metabolism-Lipid metabolism-Glycerolipid metabolism",5,2.13546957691223e-09,6.47859695803288
"Metabolism-Carbohydrate metabolism-Pentose and glucuronate interconversions",2,3.89604606216145e-09,6.29730237331253
"Human Diseases-Infectious disease- bacterial-Epithelial cell signaling in Helicobacter pylori infection",2,5.28393108102614e-09,6.20710621144205
"Human Diseases-Infectious disease- viral-Coronavirus disease - COVID-19",1,6.54251209531562e-09,6.16641899595183
"Metabolism-Amino acid metabolism-Arginine biosynthesis",3,1.38823644813282e-08,6.08339810658733
"Organismal Systems-Endocrine system-Thyroid hormone signaling pathway",3,1.46651052521467e-08,6.01925941787118
"Human Diseases-Immune disease-Rheumatoid arthritis",1,1.47105674607246e-08,6.01433004180374
