base_gene_src	base_id_src	base_gene_dest	base_id_dest	pathway
79444	ENTREZID	840	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis - multiple species
5599	ENTREZID	317	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis - multiple species
54205	ENTREZID	317	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis - multiple species
842	ENTREZID	836	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis - multiple species
329	ENTREZID	842	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis - multiple species
317	ENTREZID	842	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis - multiple species
842	ENTREZID	840	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis - multiple species
329	ENTREZID	840	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis - multiple species
841	ENTREZID	840	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis - multiple species
329	ENTREZID	836	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis - multiple species
56616	ENTREZID	329	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis - multiple species
27429	ENTREZID	329	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis - multiple species
5414	ENTREZID	329	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis - multiple species
596	ENTREZID	581	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis - multiple species
596	ENTREZID	578	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis - multiple species
10018	ENTREZID	596	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis - multiple species
598	ENTREZID	578	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis - multiple species
7132	ENTREZID	8772	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis - multiple species
8772	ENTREZID	841	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis - multiple species
4804	ENTREZID	8772	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis - multiple species
4790	ENTREZID	598	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
3002	ENTREZID	1676	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
836	ENTREZID	1676	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
472	ENTREZID	7157	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
7157	ENTREZID	578	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
7157	ENTREZID	581	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
7157	ENTREZID	55367	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
7157	ENTREZID	637	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
7157	ENTREZID	317	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
7157	ENTREZID	63970	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
7157	ENTREZID	355	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
7157	ENTREZID	8795	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
7157	ENTREZID	27113	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
7157	ENTREZID	5366	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
1649	ENTREZID	596	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
1075	ENTREZID	596	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
5599	ENTREZID	596	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
5366	ENTREZID	596	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
27113	ENTREZID	596	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
572	ENTREZID	596	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
4790	ENTREZID	329	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
54205	ENTREZID	842	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
842	ENTREZID	10038	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
842	ENTREZID	839	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
840	ENTREZID	10038	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
840	ENTREZID	60	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
3002	ENTREZID	840	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
100506742	ENTREZID	840	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
836	ENTREZID	6708	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
836	ENTREZID	10038	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
836	ENTREZID	60	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
3002	ENTREZID	836	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
100506742	ENTREZID	836	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
841	ENTREZID	836	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
5599	ENTREZID	572	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
10000	ENTREZID	572	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
4792	ENTREZID	4790	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
4790	ENTREZID	5783	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
4790	ENTREZID	8837	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
4790	ENTREZID	10912	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
4790	ENTREZID	7185	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
4790	ENTREZID	597	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
1075	ENTREZID	329	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
839	ENTREZID	4000	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
839	ENTREZID	60	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
841	ENTREZID	839	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
1147	ENTREZID	4792	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
55367	ENTREZID	637	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
835	ENTREZID	637	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
1075	ENTREZID	637	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
3002	ENTREZID	637	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
841	ENTREZID	637	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
843	ENTREZID	637	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
8837	ENTREZID	841	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
8717	ENTREZID	841	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
3002	ENTREZID	841	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
8837	ENTREZID	843	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
8717	ENTREZID	843	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
8772	ENTREZID	843	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
823	ENTREZID	100506742	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
5170	ENTREZID	10000	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
10000	ENTREZID	1147	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
7186	ENTREZID	9020	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
9020	ENTREZID	1147	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
4914	ENTREZID	5290	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
1439	ENTREZID	5290	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
7186	ENTREZID	153090	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
8795	ENTREZID	8772	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
355	ENTREZID	8772	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
3562	ENTREZID	1439	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
1439	ENTREZID	3265	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
4803	ENTREZID	4914	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
4914	ENTREZID	3265	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
7124	ENTREZID	7132	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
7132	ENTREZID	8717	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
7132	ENTREZID	7186	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
7132	ENTREZID	8737	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
8743	ENTREZID	8795	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
356	ENTREZID	355	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
355	ENTREZID	1616	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
3002	ENTREZID	4000	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
3002	ENTREZID	10038	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
598	ENTREZID	581	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
10018	ENTREZID	581	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
1649	ENTREZID	598	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
1075	ENTREZID	598	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
10018	ENTREZID	598	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
5599	ENTREZID	598	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
5366	ENTREZID	598	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
27113	ENTREZID	598	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
1616	ENTREZID	4217	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
153090	ENTREZID	4217	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
4217	ENTREZID	5599	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
2081	ENTREZID	4217	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
7186	ENTREZID	4217	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
5599	ENTREZID	637	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
5599	ENTREZID	3725	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
5599	ENTREZID	2353	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
3725	ENTREZID	7157	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
3725	ENTREZID	355	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
3725	ENTREZID	356	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
3725	ENTREZID	10018	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
3725	ENTREZID	8739	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
2353	ENTREZID	7157	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
2353	ENTREZID	355	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
2353	ENTREZID	356	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
2353	ENTREZID	10018	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
2353	ENTREZID	8739	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
468	ENTREZID	1649	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
9451	ENTREZID	1965	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
1965	ENTREZID	468	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
3002	ENTREZID	10376	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
3002	ENTREZID	4170	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
4170	ENTREZID	10018	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
3265	ENTREZID	5894	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
5894	ENTREZID	5604	ENTREZID	Cellular Processes-Cell growth and death-Apoptosis
