"base_gene_src","base_id_src","base_gene_dest","base_id_dest","pathway","database"
"BIRC7","ENTREZID","CASP7","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis - multiple species","kegg"
"MAPK8","ENTREZID","APAF1","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis - multiple species","kegg"
"CYCS","ENTREZID","APAF1","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis - multiple species","kegg"
"CASP9","ENTREZID","CASP3","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis - multiple species","kegg"
"BIRC2","ENTREZID","CASP9","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis - multiple species","kegg"
"APAF1","ENTREZID","CASP9","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis - multiple species","kegg"
"CASP9","ENTREZID","CASP7","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis - multiple species","kegg"
"BIRC2","ENTREZID","CASP7","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis - multiple species","kegg"
"CASP8","ENTREZID","CASP7","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis - multiple species","kegg"
"BIRC2","ENTREZID","CASP3","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis - multiple species","kegg"
"DIABLO","ENTREZID","BIRC2","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis - multiple species","kegg"
"HTRA2","ENTREZID","BIRC2","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis - multiple species","kegg"
"SEPTIN4","ENTREZID","BIRC2","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis - multiple species","kegg"
"BCL2","ENTREZID","BAX","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis - multiple species","kegg"
"BCL2","ENTREZID","BAK1","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis - multiple species","kegg"
"BCL2L11","ENTREZID","BCL2","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis - multiple species","kegg"
"BCL2L1","ENTREZID","BAK1","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis - multiple species","kegg"
"TNFRSF1A","ENTREZID","FADD","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis - multiple species","kegg"
"FADD","ENTREZID","CASP8","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis - multiple species","kegg"
"NGFR","ENTREZID","FADD","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis - multiple species","kegg"
"NFKB1","ENTREZID","BCL2L1","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"GZMB","ENTREZID","DFFA","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"CASP3","ENTREZID","DFFA","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"ATM","ENTREZID","TP53","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"TP53","ENTREZID","BAK1","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"TP53","ENTREZID","BAX","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"TP53","ENTREZID","PIDD1","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"TP53","ENTREZID","BID","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"TP53","ENTREZID","APAF1","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"TP53","ENTREZID","TP53AIP1","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"TP53","ENTREZID","FAS","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"TP53","ENTREZID","TNFRSF10B","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"TP53","ENTREZID","BBC3","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"TP53","ENTREZID","PMAIP1","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"DDIT3","ENTREZID","BCL2","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"CTSC","ENTREZID","BCL2","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"MAPK8","ENTREZID","BCL2","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"PMAIP1","ENTREZID","BCL2","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"BBC3","ENTREZID","BCL2","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"BAD","ENTREZID","BCL2","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"NFKB1","ENTREZID","BIRC2","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"CYCS","ENTREZID","CASP9","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"CASP9","ENTREZID","PARP2","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"CASP9","ENTREZID","CASP6","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"CASP7","ENTREZID","PARP2","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"CASP7","ENTREZID","ACTB","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"GZMB","ENTREZID","CASP7","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"CASP12","ENTREZID","CASP7","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"CASP3","ENTREZID","SPTA1","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"CASP3","ENTREZID","PARP2","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"CASP3","ENTREZID","ACTB","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"GZMB","ENTREZID","CASP3","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"CASP12","ENTREZID","CASP3","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"CASP8","ENTREZID","CASP3","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"MAPK8","ENTREZID","BAD","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"AKT3","ENTREZID","BAD","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"NFKBIA","ENTREZID","NFKB1","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"NFKB1","ENTREZID","PTPN13","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"NFKB1","ENTREZID","CFLAR","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"NFKB1","ENTREZID","GADD45G","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"NFKB1","ENTREZID","TRAF1","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"NFKB1","ENTREZID","BCL2A1","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"CTSC","ENTREZID","BIRC2","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"CASP6","ENTREZID","LMNA","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"CASP6","ENTREZID","ACTB","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"CASP8","ENTREZID","CASP6","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"CHUK","ENTREZID","NFKBIA","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"PIDD1","ENTREZID","BID","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"CASP2","ENTREZID","BID","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"CTSC","ENTREZID","BID","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"GZMB","ENTREZID","BID","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"CASP8","ENTREZID","BID","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"CASP10","ENTREZID","BID","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"CFLAR","ENTREZID","CASP8","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"TRADD","ENTREZID","CASP8","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"GZMB","ENTREZID","CASP8","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"CFLAR","ENTREZID","CASP10","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"TRADD","ENTREZID","CASP10","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"FADD","ENTREZID","CASP10","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"CAPN1","ENTREZID","CASP12","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"PDPK1","ENTREZID","AKT3","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"AKT3","ENTREZID","CHUK","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"TRAF2","ENTREZID","MAP3K14","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"MAP3K14","ENTREZID","CHUK","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
"NTRK1","ENTREZID","PIK3CA","ENTREZID","Cellular Processes-Cell growth and death-Apoptosis","kegg"
