"teststat","gene","pFdr"
0.28963839849838,"ADA",0.978943756281902
6.91875380523609,"CDH2",0.485405153799754
2.21799855095276,"AKT3",0.826212242900919
1.55733812867964,"ACOT8",0.875804922015203
0.574431808714194,"ABI1",0.949497715756871
0.226815618009392,"GNPDA1",0.978943756281902
0.602697281473071,"CDH3",0.947254995302584
3.28036928179014,"TANK",0.78440499570353
0.0403070313703156,"HDAC6",0.986733047535905
0.161349769203747,"CD24",0.978943756281902
0.00730109592245162,"HDAC5",0.993029479704196
1.05854592049541,"PDCD6IP",0.93137694545857
1.30954641546492,"BCL2L11",0.901306260080741
0.291791763910388,"SH2B3",0.978943756281902
1.75723954475408,"GNE",0.861695105344109
0.104313660994783,"FRAT1",0.978943756281902
2.94775910081969,"MED16",0.789209909056708
2.40035944554866,"PIGK",0.821655919899476
0.149359474985358,"CDH5",0.978943756281902
0.524029764121521,"PARP2",0.960503699829028
0.0655775395697333,"AP1M2",0.98529231221214
0.335619057771557,"DNM1L",0.977219395779425
1.79778737328087,"ABCF2",0.860315168699849
0.931358186604158,"NR1H3",0.93137694545857
0.06058676836718,"HUWE1",0.985371713603004
1.49675025843449,"ARPC5",0.875804922015203
0.109151759933898,"PPIF",0.978943756281902
0.409017798630744,"RAD50",0.972357008783994
1.94568366382324,"PREB",0.838748898921898
0.432392734575227,"HIPK3",0.967839468428807
0.0671479143570845,"ACTR1B",0.98529231221214
1.37518089736245,"RASGRP1",0.89485799890195
0.0799534474743698,"DNAL4",0.983640764433888
0.700367101439601,"PDIA6",0.942336635064212
0.252594233847446,"TRAP1",0.978943756281902
0.00355324966815156,"OPTN",0.993029479704196
0.889862441739908,"NAMPT",0.93137694545857
0.211954949221885,"TOB1",0.978943756281902
0.0124497609195622,"EBI3",0.993029479704196
4.61959595349465,"ABI2",0.673663611167472
1.13885611074272,"PLXNC1",0.93137694545857
4.10162535632515,"AASS",0.698226244053666
1.8305253632488,"ATP6AP2",0.858540170825572
0.028413539732602,"LPAR6",0.987853172657534
2.11928459723587,"LPCAT3",0.83028756835596
1.54047972949577,"WASF2",0.875804922015203
1.29916980599393,"CDK2",0.903109155976697
0.100985960782067,"CDK4",0.978943756281902
0.049321150557397,"RNF41",0.985794221665268
0.749475771899935,"ALG3",0.93816655781328
0.0662018227242375,"PSME3",0.98529231221214
0.214734932142481,"ADAM10",0.978943756281902
0.150077993982245,"CDK5",0.978943756281902
0.29093692189523,"NME6",0.978943756281902
0.402901581648998,"CALCRL",0.974021521299913
0.0075821339945578,"PATJ",0.993029479704196
0.00524850834797002,"CDK6",0.993029479704196
0.270727739341648,"FLOT1",0.978943756281902
2.48772105803287,"PSMD14",0.821655919899476
2.80523200714654,"CDK7",0.79195283169625
1.3558835083209,"GDF11",0.895092606982014
0.16657384178515,"STX6",0.978943756281902
1.49680292392468,"COQ7",0.875804922015203
0.771776412577597,"RCAN2",0.93816655781328
0.0427355885863627,"RASGRP2",0.986252986845984
2.42388391057368,"CALCOCO2",0.821655919899476
2.7354400481765,"GPHN",0.8048714682314
0.0520899880290658,"CDK9",0.985794221665268
11.6556269409314,"SPRY2",0.142423468904307
0.397482140728592,"STAM2",0.974021521299913
0.43735914895226,"CDKN1A",0.967839468428807
1.58844679449222,"ZMPSTE24",0.867719867956466
0.0656071724927322,"CDKN1B",0.98529231221214
0.295341988451438,"STAG1",0.978943756281902
0.786653949511091,"BET1",0.93816655781328
0.0428416441611896,"CDKN2A",0.986252986845984
0.00787114714224949,"PAK4",0.993029479704196
0.151894036477998,"ADAR",0.978943756281902
0.0651766403318556,"CDKN2B",0.98529231221214
0.146913905929627,"CDKN2C",0.978943756281902
0.873791591806152,"TCIRG1",0.932110107763455
0.0156427844996899,"RTN3",0.992643710107499
2.07609918359725,"LANCL1",0.83500888285066
0.119016662691233,"TNIP1",0.978943756281902
2.18721649698984,"LAMC3",0.828921187945164
0.0059265700412225,"CDKN2D",0.993029479704196
0.604682263761305,"RRAGB",0.947254995302584
0.0512836580715774,"SIRPB1",0.985794221665268
0.679504684707997,"AKR1A1",0.945888227412572
5.61920329569435e-05,"RXYLT1",0.998079942606773
0.317741482448986,"B3GNT3",0.978943756281902
0.202328951532434,"TLR6",0.978943756281902
2.83500229523364,"IRAG1",0.79195283169625
0.0603720954470717,"TFG",0.985371713603004
1.64994847522327,"CDO1",0.862037878166061
0.487919349204923,"KLF2",0.962835424320177
6.26577126667494,"CITED2",0.573849843374515
0.885525309993948,"SEMA3A",0.93137694545857
0.709217485808373,"TUBA1B",0.941511798240489
0.75452980402573,"IRF9",0.93816655781328
0.0134478445311746,"BPNT1",0.992882405114022
3.12644530466359,"TUBB3",0.78440499570353
0.656036493266202,"CEPT1",0.947254995302584
2.49491076084585,"MYL12B",0.821655919899476
0.120787455113104,"NOD1",0.978943756281902
0.740084998343912,"ANAPC10",0.93816655781328
0.762736744887443,"ATP8A1",0.93816655781328
2.13132352464445,"MYL9",0.83028756835596
1.64751473378066,"RACK1",0.862037878166061
0.011213764164752,"CDS1",0.993029479704196
1.67329113314461,"PEMT",0.861695105344109
0.326377365333534,"PIAS3",0.977999806096177
0.00246143839039753,"ST3GAL6",0.993029479704196
3.01162939030021,"RAPGEF3",0.789209909056708
1.24478984607227,"YAP1",0.910006627598438
0.170915443567028,"CDIPT",0.978943756281902
0.00498317401207719,"SEC24B",0.993029479704196
1.17261631304808,"LYPLA1",0.922414762287819
5.66700464260887,"ACAA2",0.624004013140439
0.0585154394650648,"VAV3",0.985794221665268
0.0425932199520286,"TOMM40",0.986252986845984
0.140688126260112,"TAB1",0.978943756281902
0.596134456556405,"BAIAP2",0.947254995302584
0.0324230219656646,"MAD2L2",0.987853172657534
0.0615250437505874,"MERTK",0.985371713603004
1.65594196388872,"FST",0.861695105344109
0.165154505656221,"TADA3",0.978943756281902
6.03476270968167,"NXF1",0.603230292091648
0.0824569101467358,"CREB3",0.982516595981878
1.01479051735566,"VTI1B",0.93137694545857
2.38565098941395,"CARM1",0.821655919899476
2.24620786859771,"NCOA2",0.821655919899476
3.77827130078357,"CEBPA",0.746621538762675
0.0626444822532667,"SEMA4F",0.985371713603004
0.0837551717562088,"CEBPB",0.982214118011018
0.805841599730171,"KAT5",0.93816655781328
2.58259186397844,"ATG7",0.819125019236529
0.233428012210773,"BATF",0.978943756281902
0.199916253477393,"LAMTOR5",0.978943756281902
2.05647657864287,"PROCR",0.835118341863474
0.116509335252771,"AGPAT1",0.978943756281902
0.945703537643441,"SPTLC1",0.93137694545857
2.29160597395598,"CXCL13",0.821655919899476
2.71186107559798,"SLC34A2",0.809211971906462
0.62034492059805,"SIVA1",0.947254995302584
0.298072740192224,"SORBS1",0.978943756281902
0.102368100966532,"POMT1",0.978943756281902
0.0896500021499657,"TXNRD2",0.978971318352127
10.3521509975584,"PAICS",0.191925341631414
1.59681036050207,"ST6GALNAC2",0.867300509341516
0.282058182803557,"RBCK1",0.978943756281902
0.000208828305370574,"TXNIP",0.998079942606773
0.112175533417414,"RGS14",0.978943756281902
0.00831587007231354,"EXOC5",0.993029479704196
0.106642761759348,"NPRL2",0.978943756281902
2.44129779578123,"CAMKK2",0.821655919899476
0.4891256938458,"MTX2",0.962835424320177
0.186534522150661,"YKT6",0.978943756281902
0.362742242932957,"PMVK",0.977149197668199
0.835485475159437,"CES1",0.935888799543029
0.0206148416786571,"CXCR6",0.992152554884023
0.00194431667939127,"GNA13",0.995346537676553
0.189177454071785,"TNFSF13B",0.978943756281902
1.67941940155132,"GNB5",0.861695105344109
0.0131234137930001,"EBP",0.992882405114022
1.67116735622232,"ADCY1",0.861695105344109
0.480294456323606,"CFL1",0.962835424320177
0.0139000804491819,"OGA",0.992643710107499
0.931286084578769,"PTGES3",0.93137694545857
0.876712939213986,"PLK4",0.931951528152613
0.0331109765035535,"MAP3K2",0.987853172657534
0.169029582214227,"CTSC",0.978943756281902
0.0728028572235417,"TRAF3IP2",0.98529231221214
0.870228584225047,"HBS1L",0.932110107763455
0.0082493763176332,"AHCYL1",0.993029479704196
0.25018439765307,"ZNF274",0.978943756281902
0.625239241699105,"NCKAP1",0.947254995302584
5.37002616113471,"IQGAP2",0.64968382536067
1.0696828563621,"MTHFD2",0.93137694545857
0.189635272613171,"ADCY2",0.978943756281902
0.892531530685078,"CYSLTR1",0.93137694545857
2.07888195660077,"SEPTIN9",0.83500888285066
0.770918338401813,"WASF3",0.93816655781328
0.000700542413909298,"FRS2",0.996418935838512
4.43717072059197,"NEU3",0.673663611167472
0.00675595088610743,"PDE10A",0.993029479704196
0.0225247726735332,"HPSE",0.992152554884023
0.939205252320981,"HCST",0.93137694545857
0.0246012701001731,"ME3",0.991303571984429
1.51394440534412,"RAB10",0.875804922015203
0.181601953079146,"MALT1",0.978943756281902
3.2699225040686,"MMP24",0.78440499570353
0.0309821099454037,"CPSF4",0.987853172657534
7.36249751951656,"ADCY3",0.451320702222458
2.64983805234267,"DHRS4",0.811430760963617
0.260323106949366,"MAN1A2",0.978943756281902
0.0372313236325431,"PNPLA6",0.98714764841694
0.361071430659853,"SUGT1",0.977219395779425
5.98132095442552,"GADD45G",0.611761020339663
0.842682156317818,"EHMT2",0.935888799543029
1.41286135381933,"RALBP1",0.89485799890195
1.64193348844141,"SRSF8",0.862037878166061
0.047798939247504,"EHD1",0.985794221665268
0.723675425816618,"STARD3",0.940751377502955
0.756752235530531,"STIP1",0.93816655781328
0.100959409771017,"ACOT2",0.978943756281902
3.04043447415231,"YWHAQ",0.789209909056708
0.894611042598501,"UQCR11",0.93137694545857
0.762456117645751,"CLP1",0.93816655781328
0.343245108694982,"SDS",0.977219395779425
0.0751962601420645,"SLC27A5",0.98529231221214
2.81765171954577,"SLC27A4",0.79195283169625
1.84076421958398,"CHAD",0.858540170825572
5.29072142110151,"LIAS",0.649711005808351
0.0215364925275122,"RIPK3",0.992152554884023
0.286702777558153,"PIM2",0.978943756281902
2.79900432929154,"B4GAT1",0.79195283169625
0.294659946673433,"NUDT21",0.978943756281902
0.60915320613206,"CPSF6",0.947254995302584
0.0285554050758245,"RAPGEF4",0.987853172657534
0.098693418185394,"TOPBP1",0.978943756281902
0.966391064715649,"CHD4",0.93137694545857
0.480414089751394,"WDR5",0.962835424320177
2.02119575468682,"ADCY5",0.837130372373449
0.364623668001403,"PRDM4",0.977149197668199
0.207887630998939,"CHEK1",0.978943756281902
1.69423347714744,"HIBADH",0.861695105344109
3.21498735281785,"KIF3A",0.78440499570353
0.00329611563138563,"CDC37",0.993029479704196
0.941431373225994,"PLAAT3",0.93137694545857
0.387622233159948,"GLMN",0.974021521299913
0.0227774548241574,"BVES",0.992152554884023
0.0928667408170622,"WDR45",0.978943756281902
0.0530046376468604,"NUDT5",0.985794221665268
4.40077215503029,"CHIT1",0.673663611167472
0.0572519576902013,"MAP4K1",0.985794221665268
0.0912561524625759,"INMT",0.978943756281902
0.0293502498869612,"RASSF1",0.987853172657534
3.44670376998817,"CHKA",0.777650314351931
0.155105620970821,"ADCY6",0.978943756281902
0.988896921726599,"CHEK2",0.93137694545857
0.0649606735280033,"IRAK3",0.98529231221214
0.780421864521747,"AKAP13",0.93816655781328
3.12305452337768,"DUSP10",0.78440499570353
0.346513503050714,"PDCD10",0.977219395779425
2.57595396803525,"EGLN2",0.819125019236529
5.23929502180576,"SAT2",0.653764245702902
0.0450157328579475,"MAN1B1",0.986252986845984
2.95949176088906,"SNX18",0.789209909056708
1.82648237539261,"RDH13",0.858540170825572
0.0955082961337132,"ATXN2L",0.978943756281902
0.464915436319845,"MGAT4B",0.966383115487852
0.629671562154606,"L3HYPDH",0.947254995302584
1.63007810799279,"B4GALT7",0.862037878166061
12.2087293179994,"PLCD3",0.135426213499803
0.0456701718775966,"VPS45",0.985794221665268
1.35904681246372,"CDCA5",0.895092606982014
0.378217771796267,"AHNAK2",0.975665541961496
0.214728245210987,"PARK7",0.978943756281902
0.0100741200708069,"PHB2",0.993029479704196
0.577294665114938,"CBX3",0.949412007526424
0.0129193355681434,"GABARAP",0.992882405114022
3.36247930595204,"MGLL",0.777650314351931
1.11729395176753,"AZIN2",0.93137694545857
0.582493809719927,"SYNPO",0.947254995302584
0.0195547535878323,"CYP2U1",0.992152554884023
0.05463921010114,"DTX2",0.985794221665268
0.15274278484362,"NLRP3",0.978943756281902
3.4276486956944,"TIRAP",0.777650314351931
1.98604123084377,"CHUK",0.838748898921898
0.114154740082669,"CARD16",0.978943756281902
0.756095963484808,"OSBPL5",0.93816655781328
0.12464290078869,"FBXO32",0.978943756281902
1.51384608685715,"CGAS",0.875804922015203
0.127847148337502,"NT5C3B",0.978943756281902
0.233722292549283,"CKB",0.978943756281902
1.55815718482338,"ATG4A",0.875804922015203
0.0499628409299023,"OMA1",0.985794221665268
5.041990818898,"CISH",0.666088931150092
0.122454473641005,"RMI2",0.978943756281902
0.0344179436256907,"NUS1",0.987853172657534
0.12088302975214,"CKS1B",0.978943756281902
12.0535230509345,"RAB39B",0.135426213499803
0.183554585959427,"AGAP2",0.978943756281902
5.78196847224136,"THEM4",0.613016165026173
3.12409907481779,"SSX2IP",0.78440499570353
4.8664348916575,"AP2M1",0.673663611167472
0.0596168519972974,"PSTK",0.985371713603004
1.02300817303903,"PIK3AP1",0.93137694545857
0.00302656218591397,"GSTO2",0.993029479704196
0.428091194740593,"LARGE2",0.967839468428807
0.177057623126164,"CYP2R1",0.978943756281902
2.04242872020815,"LRRK2",0.835118341863474
0.770232067116249,"CLTA",0.93816655781328
0.358293419013177,"PLD4",0.977219395779425
1.50107779647329,"ADSS1",0.875804922015203
0.115740182311331,"FRMD6",0.978943756281902
0.0306292104887542,"SOCS4",0.987853172657534
0.0671391644708173,"PLIN2",0.98529231221214
0.115141644411269,"CCR1",0.978943756281902
0.135963857091107,"DEGS2",0.978943756281902
3.47233979860599,"MTFMT",0.777650314351931
0.507490543694522,"CCR5",0.962835424320177
3.82859049543027,"CCR6",0.746621538762675
0.273488346544818,"CCR7",0.978943756281902
0.510704258941243,"HYKK",0.962835424320177
1.058197254245,"WHAMM",0.93137694545857
0.0493816100934668,"SPATA2L",0.985794221665268
1.23608430492225,"MSI2",0.910006627598438
0.274687995564903,"CANT1",0.978943756281902
2.35435705920107,"GGT6",0.821655919899476
0.164815751108227,"AFMID",0.978943756281902
1.10214234629789,"CPT1C",0.93137694545857
1.74678188286231,"PLK3",0.861695105344109
0.846380070481577,"WTIP",0.935888799543029
0.148233293073887,"B3GALT6",0.978943756281902
0.730204193646749,"SLC44A3",0.940751377502955
0.27559479649391,"CNTN1",0.978943756281902
0.0241087101762803,"PRXL2B",0.991303571984429
1.81205881760164,"COL1A1",0.860195412434881
0.449087657443337,"ARL8A",0.966383115487852
0.000724213785899818,"EDARADD",0.996418935838512
1.05076716723278,"CHMP4B",0.93137694545857
2.14847341911717,"PIGU",0.83028756835596
0.158724144843619,"CMPK2",0.978943756281902
0.334836450237341,"GALM",0.977219395779425
0.930535997142613,"COMP",0.93137694545857
0.073541508848881,"COMT",0.98529231221214
4.69504987275656,"NUDT16",0.673663611167472
0.058434361332575,"ADK",0.985794221665268
0.496966204984678,"IL17RE",0.962835424320177
2.0007497126771,"GLYCTK",0.838748898921898
1.1024536378957,"PABPC4L",0.93137694545857
0.433391676393505,"MAP3K8",0.967839468428807
0.000139423502889245,"LIN54",0.998079942606773
0.898309303295497,"CPEB2",0.93137694545857
2.11697719014071,"EVC2",0.83028756835596
0.895469729362252,"ADM",0.93137694545857
1.89233374506754,"NADK2",0.848685953680332
8.76486575257148,"ADORA1",0.327492259131584
1.33293274794878,"ADORA2A",0.896954153427671
0.214931358240556,"COX10",0.978943756281902
1.13513543699096,"COX15",0.93137694545857
1.80907521605793,"CP",0.860195412434881
0.219220948522579,"CPA3",0.978943756281902
